id,subject,language,grade,chapter,chapterName,number,pattern,question,problem,solution
math-uz-6-1-1-3,math,uz,6,1,1-bob,1,3,Eng kichik sonni hosil qilish uchun har bir bo'sh katakka bittadan raqamni joylashtiring,"""1"",""2"",""3"",""4""","[""1"",""4"",""+"",""2"",""3""],[""1"",""3"",""+"",""2"",""4""]"
math-uz-6-1-2-3,math,uz,6,1,1-bob,2,3,Eng kichik sonni hosil qilish uchun har bir bo'sh katakka bittadan raqamni joylashtiring,"""2/3"",""3/5"",""4/15"",""10/45""","[""2/3"",""*"",""10/45""]"
math-uz-6-1-3-3,math,uz,6,1,1-bob,3,3,,,
math-uz-6-1-4-3,math,uz,6,1,1-bob,4,3,,,
math-uz-6-1-5-3,math,uz,6,1,1-bob,5,3,,,
math-uz-6-1-6-3,math,uz,6,1,1-bob,6,3,,,
math-uz-6-1-7-3,math,uz,6,1,1-bob,7,3,,,
math-uz-6-1-8-3,math,uz,6,1,1-bob,8,3,,,
math-uz-6-1-9-3,math,uz,6,1,1-bob,9,3,,,
math-uz-6-1-10-3,math,uz,6,1,1-bob,10,3,,,
math-uz-6-2-11-3,math,uz,6,2,2-bob,11,3,,,
math-uz-6-2-12-3,math,uz,6,2,2-bob,12,3,,,
math-uz-6-2-13-3,math,uz,6,2,2-bob,13,3,,,
math-uz-6-2-14-3,math,uz,6,2,2-bob,14,3,,,
math-uz-6-2-15-3,math,uz,6,2,2-bob,15,3,,,
math-uz-6-2-16-3,math,uz,6,2,2-bob,16,3,,,
math-uz-6-2-17-3,math,uz,6,2,2-bob,17,3,,,
math-uz-6-2-18-3,math,uz,6,2,2-bob,18,3,,,
math-uz-6-2-19-3,math,uz,6,2,2-bob,19,3,,,
math-uz-6-2-20-3,math,uz,6,2,2-bob,20,3,,,
math-uz-6-3-21-3,math,uz,6,3,,21,3,,,
math-uz-6-3-22-3,math,uz,6,3,,22,3,,,
math-uz-6-3-23-3,math,uz,6,3,,23,3,,,
math-uz-6-3-24-3,math,uz,6,3,,24,3,,,
math-uz-6-3-25-3,math,uz,6,3,,25,3,,,
math-uz-6-3-26-3,math,uz,6,3,,26,3,,,
math-uz-6-3-27-3,math,uz,6,3,,27,3,,,
math-uz-6-3-28-3,math,uz,6,3,,28,3,,,
math-uz-6-3-29-3,math,uz,6,3,,29,3,,,
math-uz-6-3-30-3,math,uz,6,3,,30,3,,,
math-uz-6-4-31-3,math,uz,6,4,,31,3,,,
math-uz-6-4-32-3,math,uz,6,4,,32,3,,,
math-uz-6-4-33-3,math,uz,6,4,,33,3,,,
math-uz-6-4-34-3,math,uz,6,4,,34,3,,,
math-uz-6-4-35-3,math,uz,6,4,,35,3,,,
math-uz-6-4-36-3,math,uz,6,4,,36,3,,,
math-uz-6-4-37-3,math,uz,6,4,,37,3,,,
math-uz-6-4-38-3,math,uz,6,4,,38,3,,,
math-uz-6-4-39-3,math,uz,6,4,,39,3,,,
math-uz-6-4-40-3,math,uz,6,4,,40,3,,,
math-uz-6-5-41-3,math,uz,6,5,,41,3,,,
math-uz-6-5-42-3,math,uz,6,5,,42,3,,,
math-uz-6-5-43-3,math,uz,6,5,,43,3,,,
math-uz-6-5-44-3,math,uz,6,5,,44,3,,,
math-uz-6-5-45-3,math,uz,6,5,,45,3,,,
math-uz-6-5-46-3,math,uz,6,5,,46,3,,,
math-uz-6-5-47-3,math,uz,6,5,,47,3,,,
math-uz-6-5-48-3,math,uz,6,5,,48,3,,,
math-uz-6-5-49-3,math,uz,6,5,,49,3,,,
math-uz-6-5-50-3,math,uz,6,5,,50,3,,,
math-uz-6-6-51-3,math,uz,6,6,,51,3,,,
math-uz-6-6-52-3,math,uz,6,6,,52,3,,,
math-uz-6-6-53-3,math,uz,6,6,,53,3,,,
math-uz-6-6-54-3,math,uz,6,6,,54,3,,,
math-uz-6-6-55-3,math,uz,6,6,,55,3,,,
math-uz-6-6-56-3,math,uz,6,6,,56,3,,,
math-uz-6-6-57-3,math,uz,6,6,,57,3,,,
math-uz-6-6-58-3,math,uz,6,6,,58,3,,,
math-uz-6-6-59-3,math,uz,6,6,,59,3,,,
math-uz-6-6-60-3,math,uz,6,6,,60,3,,,
math-uz-6-7-61-3,math,uz,6,7,,61,3,,,
